APPLUS EBENE;APPLUS BEZEICHNUNG;APPLUS ARTIKELNUMMER;APPLUS MENGE;APPLUS MENGENEINHEIT;APPLUS ARTIKELGRUPPE;APPLUS PROFILLÄNGE;APPLUS FLÄCHE;APPLUS STANDARDPROFILLÄNGE;APPLUS STANDARDFLÄCHE;APPLUS EINKAUF;APPLUS LAGER;APPLUS FERTIGUNG;APPLUS AUFTRAG;APPLUS LÄNGE;APPLUS BREITE;APPLUS WAND ID;APPLUS BSU ID;APPLUS KLEINTEILBEZEICHNUNG;APPLUS KLEINTEILSCHLÜSSEL;APPLUS KLEINTEILARTIKELNUMMER
4;Platte- GK-Platte Weather Defence (1200 x 1534);1001960;1;Stück;Platte;;1,0227;;3;1;1;0;0;1534;1200;Wand 2 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (1200 x 1811);1001960;1;Stück;Platte;;2,173454;;3;1;1;0;0;1811;1200;Wand 2 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (1200 x 1811);1001960;1;Stück;Platte;;1,560954;;3;1;1;0;0;1811;1200;Wand 2 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (1200 x 2130);1001960;1;Stück;Platte;;2,555746;;3;1;1;0;0;2130;1200;Wand 2 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (1200 x 2130);1001960;1;Stück;Platte;;1,943246;;3;1;1;0;0;2130;1200;Wand 2 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (525 x 112);1001960;1;Stück;Platte;;0,0588;;3;1;1;0;0;112;525;Wand 2 Laibung;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (525 x 112);1001960;1;Stück;Platte;;0,0588;;3;1;1;0;0;112;525;Wand 2 Laibung;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (525 x 112);1001960;1;Stück;Platte;;0,0588;;3;1;1;0;0;112;525;Wand 2 Laibung;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (525 x 112);1001960;1;Stück;Platte;;0,0588;;3;1;1;0;0;112;525;Wand 2 Laibung;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (2021 x 112);1001960;1;Stück;Platte;;0,226352;;3;1;1;0;0;112;2021;Wand 2 Laibung;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (2021 x 112);1001960;1;Stück;Platte;;0,226352;;3;1;1;0;0;112;2021;Wand 2 Laibung;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (2021 x 112);1001960;1;Stück;Platte;;0,226352;;3;1;1;0;0;112;2021;Wand 1 Laibung;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (2021 x 112);1001960;1;Stück;Platte;;0,226352;;3;1;1;0;0;112;2021;Wand 1 Laibung;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (525 x 112);1001960;1;Stück;Platte;;0,0588;;3;1;1;0;0;112;525;Wand 1 Laibung;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (525 x 112);1001960;1;Stück;Platte;;0,0588;;3;1;1;0;0;112;525;Wand 1 Laibung;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (1200 x 1867);1001960;1;Stück;Platte;;2,2404;;3;1;1;0;0;1867;1200;Wand 4 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Profil-4410 (Z2501) ;1000009;1;Stück;Profil;2501;;5000;;1;1;0;0;;;Wand 1 Profile ;21;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil-4410 (Z1875) ;1000009;1;Stück;Profil;1875;;5000;;1;1;0;0;;;Wand 4 Profile ;21;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil-4410 (Z1542) ;1000009;1;Stück;Profil;1542;;5000;;1;1;0;0;;;Wand 2 Profile ;21;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil-4410 (Z2501) ;1000009;1;Stück;Profil;2501;;5000;;1;1;0;0;;;Wand 3 Profile ;21;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 4 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 1 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 1 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 1 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 2 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 1 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 4 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 4 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 4 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 4 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 4 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 4 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 2 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 2 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 2 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 2 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 2 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 2 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 2 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 3 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 3 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 3 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 3 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 3 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- U-Ringankerprofil 4610 (Z2501) ;1000010;1;Stück;Profil;2501;;5000;;1;1;0;0;;;Wand 3 Profile ;23;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 4 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 2 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 4 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 4 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 4 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 4 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 4 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 1 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 1 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- U-Ringankerprofil 4610 (Z2097) ;1000010;1;Stück;Profil;2097;;5000;;1;1;0;0;;;Wand 2 Profile ;23;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z2395) ;1002266;1;Stück;Profil;2395;;5000;;1;1;0;0;;;Wand 1 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z253) ;1002266;1;Stück;Profil;253;;5000;;1;1;0;0;;;Wand 1 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
4;Profil- C-Ständerprofil 4710 (Z253) ;1002266;1;Stück;Profil;253;;5000;;1;1;0;0;;;Wand 1 Profile ;22;Schraube - Hilti SBS S-MD03Z (6,3x19);4;1001958
