APPLUS EBENE,APPLUS BEZEICHNUNG,APPLUS ARTIKELNUMMER,APPLUS MENGE,APPLUS MENGENEINHEIT,APPLUS ARTIKELGRUPPE,APPLUS PROFILLÄNGE,APPLUS FLÄCHE,APPLUS STANDARDPROFILLÄNGE,APPLUS STANDARDFLÄCHE,APPLUS EINKAUF,APPLUS LAGER,APPLUS FERTIGUNG,APPLUS AUFTRAG,APPLUS LÄNGE,APPLUS BREITE,APPLUS WAND ID,APPLUS KLEINTEILMENGE,APPLUS KLEINTEILBEZEICHNUNG,APPLUS KLEINTEILSCHLÜSSEL,APPLUS KLEINTEILARTIKELNUMMER,APPLUS BSU ID,Wand ID
4,Platte- Standardplatte OSB 3 (2400 x 561) 1.188 M2,27056124001188,1,Stück,PlatteM,,1.188,,"3,125",0,0,1,1,0561,2400,Wand 2 OSB 3 AW,22,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",18,1002033,27,2
5,,10020999,1.188,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- Standardplatte OSB 3 (2400 x 562) 1.205 M2,27056224001205,1,Stück,PlatteM,,1.205,,"3,125",0,0,1,1,0562,2400,Wand 2 OSB 3 IW,22,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",18,1002033,27,2
5,,10020999,1.205,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- Standardplatte OSB 3 (2400 x 715) 1.496 M2,27071524001496,1,Stück,PlatteM,,1.496,,"3,125",0,0,1,1,0715,2400,Wand 2 OSB 3 IW,27,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",18,1002033,27,2
5,,10020999,1.496,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- Standardplatte OSB 3 (2400 x 868) 1.923 M2,27086824001923,1,Stück,PlatteL,,1.923,,"3,125",0,0,1,1,0868,2400,Wand 2 OSB 3 AW,35,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",18,1002033,27,2
5,,10020999,1.923,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- Standardplatte OSB 3 (2400 x 1250) 2.502 M2,27125024002502,1,Stück,PlatteL,,2.502,,"3,125",0,0,1,1,1250,2400,Wand 2 OSB 3 AW,46,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",18,1002033,27,2
5,,10020999,2.502,M2,,,,,,1,1,0,0,,,,,,,,,
